C9orf152	NM_001012993	hypothetical protein LOC401546
NUDT21	NM_007006	cleavage and polyadenylation specific factor 5
SFRS17A	NM_005088	DNA segment on chromosome X and Y (unique) 155
SNORD116-22	NR_003336
ZNF235	NM_004234	zinc finger protein 93 homolog
KIAA0644	NM_014817	hypothetical protein LOC9865
ERC1	NM_178039/NM_178037/NM_178038/NM_178040/NM_015064	RAB6-interacting protein 2 isoform delta/RAB6-interacting protein 2 isoform beta/RAB6-interacting protein 2 isoform gamma/RAB6-interacting protein 2 isoform epsilon/RAB6-interacting protein 2 isoform alpha
NKIRAS2	NM_001001349/NM_017595	NFKB inhibitor interacting Ras-like 2
TRMT5	NM_020810	tRNA-(N1G37) methyltransferase
NHLRC1	NM_198586	NHL repeat containing 1
PPP1R7	NM_002712	protein phosphatase 1, regulatory subunit 7
HTRA4	NM_153692	HtrA serine peptidase 4 precursor
C14orf177	NM_182560	hypothetical protein LOC283598
LOC389151	NM_001013650	hypothetical protein LOC389151
KAT2B	NM_003884	K(lysine) acetyltransferase 2B
C10orf32	NM_144591/NM_001136200	hypothetical protein LOC119032
VCX2	NM_016378	variable charge, X-linked 2
THNSL2	NM_018271	threonine synthase-like 2
LARP5	NM_015155	La ribonucleoprotein domain family, member 5
C1QTNF1	NM_030968/NM_198593/NM_198594	C1q and tumor necrosis factor related protein 1
TRADD	NM_003789	TNFRSF1A-associated via death domain
C1orf43	NM_015449/NM_001098616/NM_138740	hypothetical protein LOC25912 isoform 1/hypothetical protein LOC25912 isoform 3/hypothetical protein LOC25912 isoform 2
AS3MT	NM_020682	arsenic (+3 oxidation state) methyltransferase
SCARF1	NM_003693/NM_145349/NM_145352/NM_145350/NM_145351	scavenger receptor class F, member 1 isoform 1/scavenger receptor class F, member 1 isoform 2/scavenger receptor class F, member 1 isoform 5/scavenger receptor class F, member 1 isoform 3/scavenger receptor class F, member 1 isoform 4
TTTY4B	NR_002178
PHF23	NM_024297	PHD finger protein 23
B3GNT2	NM_006577	UDP-GlcNAc:betaGal
SNORD49B	NR_003043
C3orf71	NM_001123040	hypothetical protein LOC646450
MAGEB2	NM_002364	melanoma antigen family B, 2
ZNF780A	NM_001010880	zinc finger protein 780A
FNBP1	NM_015033	formin binding protein 1
EYA2	NM_172110/NM_172111/NM_172112/NM_172113/NM_005244	eyes absent 2 isoform c/eyes absent 2 isoform a/eyes absent 2 isoform b
FANCG	NM_004629	Fanconi anemia, complementation group G
ZNF471	NM_020813	zinc finger protein 471
BCL2L14	NM_138724/NM_030766/NM_138722/NM_138723	BCL2-like 14 isoform 3/BCL2-like 14 isoform 2/BCL2-like 14 isoform 1
C14orf153	NM_032374	chromosome 14 open reading frame 153
S1PR3	NM_005226	sphingosine-1-phosphate receptor 3
ZNF224	NM_013398	zinc finger protein 224
EFS	NM_032459/NM_005864	embryonal Fyn-associated substrate isoform 2/embryonal Fyn-associated substrate isoform 1
CKAP4	NM_006825	cytoskeleton-associated protein 4
CCDC13	NM_144719	coiled-coil domain containing 13
ZNF652	NM_014897	zinc finger protein 652
SCN3B	NM_001040151/NM_018400	voltage-gated sodium channel beta-3 subunit
DRD1	NM_000794	dopamine receptor D1
OAT	NM_000274	ornithine aminotransferase precursor
DEFB130	NM_001037804	beta-defensin 130
IQGAP2	NM_006633	IQ motif containing GTPase activating protein 2
CDYL	NM_004824/NM_170751/NM_170752	chromodomain protein, Y chromosome-like isoform
PFN3	NM_001029886	profilin 3
ANKS1A	NM_015245	ankyrin repeat and sterile alpha motif domain
COBLL1	NM_014900	COBL-like 1
LOC653147	NM_001093761	hypothetical protein LOC653147
C2orf55	NM_207362	hypothetical protein LOC343990
PRCP	NM_005040/NM_199418	prolylcarboxypeptidase isoform 1 preproprotein/prolylcarboxypeptidase isoform 2 preproprotein
TMEM130	NM_001134451/NM_001134450/NM_152913	transmembrane protein 130 isoform c/transmembrane protein 130 isoform a/transmembrane protein 130 isoform b
SPINK1	NM_003122	serine protease inhibitor, Kazal type 1
SLFN14	NM_001129820	schlafen family member 14
C17orf97	NM_001013672	hypothetical protein LOC400566
NDUFB1	NM_004545	NADH dehydrogenase (ubiquinone) 1 beta
DIO3	NM_001362	deiodinase, iodothyronine, type III
PRTG	NM_173814	protogenin
PVRL1	NM_203285/NM_002855/NM_203286	poliovirus receptor-related 1 isoform 2/poliovirus receptor-related 1 isoform 1/poliovirus receptor-related 1 isoform 3
CNTD2	NM_024877	cyclin N-terminal domain containing 2
MYL4	NM_002476/NM_001002841	atrial/embryonic alkali myosin light chain
SLC17A1	NM_005074	solute carrier family 17 (sodium phosphate),
RGMB	NM_001012761/NM_173670	RGM domain family, member B isoform 1 precursor/RGM domain family, member B isoform 2 precursor
TAF5L	NM_001025247/NM_014409	PCAF associated factor 65 beta isoform b/PCAF associated factor 65 beta isoform a
GSTTP1	NR_003081
CCDC59	NM_014167	coiled-coil domain containing 59
MED20	NM_004275	Trf (TATA binding protein-related
DGAT2L6	NM_198512	diacylglycerol O-acyltransferase 2-like 6
CHMP4A	NM_014169	chromatin modifying protein 4A
FBXL12	NM_017703	F-box and leucine-rich repeat protein 12
TOMM20	NM_014765	translocase of outer mitochondrial membrane 20
COL22A1	NM_152888	collagen, type XXII, alpha 1
TBC1D14	NM_020773/NM_001113363/NM_001113361	TBC1 domain family, member 14 isoform a/TBC1 domain family, member 14 isoform b
OR8B2	NM_001005468	olfactory receptor, family 8, subfamily B,
C2orf73	NM_001100396	hypothetical protein LOC129852
MRPS35	NM_021821	mitochondrial ribosomal protein S35
LOC51057	NM_015910/NM_001042692	hypothetical protein LOC51057 isoform 2/hypothetical protein LOC51057 isoform 1
MSC	NM_005098	musculin
CILP	NM_003613	cartilage intermediate layer protein
ATXN7L2	NM_153340	ataxin 7-like 2
BTLA	NM_001085357/NM_181780	B and T lymphocyte associated isoform 2/B and T lymphocyte associated isoform 1
SEC23B	NM_032985/NM_032986/NM_006363	Sec23 homolog B
RDH13	NM_138412	retinol dehydrogenase 13
C17orf63	NM_018182/NM_001077498	hypothetical protein LOC55731
RHOXF1	NM_139282	Rhox homeobox family, member 1
TIA1	NM_022037/NM_022173	TIA1 protein isoform 1/TIA1 protein isoform 2
SPTLC1	NM_006415/NM_178324	serine palmitoyltransferase subunit 1 isoform a/serine palmitoyltransferase subunit 1 isoform b
HMGB3	NM_005342	high-mobility group box 3
TOPBP1	NM_007027	topoisomerase (DNA) II binding protein 1
NAT8	NM_003960	N-acetyltransferase 8
C7orf58	NM_001105533/NM_024913	hypothetical protein LOC79974 isoform 2/hypothetical protein LOC79974 isoform 1
HOMER3	NM_004838	Homer, neuronal immediate early gene, 3
KLF11	NM_003597	Kruppel-like factor 11
KCNAB3	NM_004732	potassium voltage-gated channel, shaker-related
C9orf85	NM_182505	hypothetical protein LOC138241
ODF3	NM_053280	outer dense fiber of sperm tails 3
PHLDA3	NM_012396	pleckstrin homology-like domain, family A,
KLHDC4	NM_017566	kelch domain containing 4
GABARAP	NM_007278	GABA(A) receptor-associated protein
AGR3	NM_176813	breast cancer membrane protein 11
FPR3	NM_002030	formyl peptide receptor-like 2
EXOC5	NM_006544	SEC10 protein
AADACL2	NM_207365	arylacetamide deacetylase-like 2
RPL36A	NM_021029	ribosomal protein L36a
SLCO1B3	NM_019844	solute carrier organic anion transporter family,
PTPDC1	NM_177995/NM_152422	protein tyrosine phosphatase domain containing 1
DUSP7	NM_001947	dual specificity phosphatase 7
C6orf223	NM_153246	hypothetical protein LOC221416
NRP1	NM_003873/NM_001024628/NM_001024629	neuropilin 1 isoform a/neuropilin 1 isoform b/neuropilin 1 isoform c
VSTM2L	NM_080607	V-set and transmembrane domain containing 2
PLEK	NM_002664	pleckstrin
NLRP3	NM_004895/NM_183395/NM_001127462/NM_001127461/NM_001079821	NLR family, pyrin domain containing 3 isoform a/NLR family, pyrin domain containing 3 isoform b/NLR family, pyrin domain containing 3 isoform d/NLR family, pyrin domain containing 3 isoform c
TUSC5	NM_172367	LOST1
GPR3	NM_005281	G protein-coupled receptor 3
RC3H1	NM_172071	roquin
UBE2E3	NM_182678/NM_006357	ubiquitin-conjugating enzyme E2E 3
RAB8B	NM_016530	RAB8B, member RAS oncogene family
MED29	NM_017592	mediator complex subunit 29
CCDC50	NM_174908/NM_178335	Ymer protein short isoform/Ymer protein long isoform
C20orf111	NM_016470	oxidative stress responsive 1
PRDX6	NM_004905	peroxiredoxin 6
KIR2DS3	NM_012313	killer cell immunoglobulin-like receptor, two
BCAN	NM_198427/NM_021948	brevican isoform 2/brevican isoform 1
SMPD4	NM_017751/NM_017951	neutral sphingomyelinase 3 isoform 1/neutral sphingomyelinase 3 isoform 2
AKAP7	NM_138633/NM_004842/NM_016377	A-kinase anchor protein 7 isoform beta/A-kinase anchor protein 7 isoform alpha/A-kinase anchor protein 7 isoform gamma
ZNF500	NM_021646	zinc finger protein 500
FGF11	NM_004112	fibroblast growth factor 11
AIDA	NM_022831	axin interactor, dorsalization associated
FLJ11151	NM_001099455/NM_018340	hypothetical protein LOC55313 isoform b/hypothetical protein LOC55313 isoform a
FARSB	NM_005687	phenylalanyl-tRNA synthetase, beta subunit
MARCH10	NM_152598/NM_001100875	ring finger protein 190
ACYP2	NM_138448	muscle-type acylphosphatase 2
CLDN4	NM_001305	claudin 4
SLC22A18	NM_183233/NM_002555	tumor suppressing subtransferable candidate 5
GRM8	NM_000845/NM_001127326/NM_001127323	glutamate receptor, metabotropic 8 isoform a/glutamate receptor, metabotropic 8 isoform c/glutamate receptor, metabotropic 8 isoform b
RNF141	NM_016422	ring finger protein 141
GRK6	NM_002082/NM_001004106/NM_001004105	G protein-coupled receptor kinase 6 isoform B/G protein-coupled receptor kinase 6 isoform A/G protein-coupled receptor kinase 6 isoform C
FAM10A7	NR_002198
VPS26A	NM_001035260/NM_004896	vacuolar protein sorting 26 A isoform 2/vacuolar protein sorting 26 A isoform 1
PIGZ	NM_025163	phosphatidylinositol glycan anchor biosynthesis,
LYSMD4	NM_152449	LysM, putative peptidoglycan-binding, domain
CRLS1	NM_001127458/NM_019095	cardiolipin synthase 1 isoform 2/cardiolipin synthase 1 isoform 1
KIAA0562	NM_014704	glycine-, glutamate-,
TTTY12	NR_001551
WFDC5	NM_145652	WAP four-disulfide core domain 5 precursor
WDR8	NM_017818	WD repeat domain 8 protein
PROK2	NM_021935/NM_001126128	prokineticin 2 isoform b precursor/prokineticin 2 isoform a precursor
SEPT5	NM_002688	septin 5
RPGRIP1	NM_020366	retinitis pigmentosa GTPase regulator
MTHFR	NM_005957	5,10-methylenetetrahydrofolate reductase
NEURL2	NM_080749	neuralized-like protein 2
DACH1	NM_080759/NM_004392/NM_080760	dachshund homolog 1 isoform a/dachshund homolog 1 isoform c/dachshund homolog 1 isoform b
TRIM60	NM_152620	ring finger protein 129
PLK3	NM_004073	polo-like kinase 3
SNORD116-10	NR_003325
UBE2F	NM_080678	NEDD8-conjugating enzyme
ATP5I	NM_007100	ATP synthase, H+ transporting, mitochondrial F0
MRPS34	NM_023936	mitochondrial ribosomal protein S34
LOC129293	NM_001080824	hypothetical protein LOC129293
KRT39	NM_213656	type I hair keratin KA35
DAP3	NM_033657/NM_004632	death-associated protein 3
LOC283663	NR_024433
LOC144438	NR_024266
CARD18	NM_021571	ICEBERG caspase-1 inhibitor
KRT28	NM_181535	keratin 25D
PHF3	NM_015153	PHD finger protein 3
RASL10B	NM_033315	RAS-like, family 10, member B
DVL2	NM_004422	dishevelled 2
OSTalpha	NM_152672	organic solute transporter alpha
DICER1	NM_177438/NM_030621	dicer1
ARMCX5	NM_022838	armadillo repeat containing, X-linked 5
AMN1	NM_001113402/NR_004854	antagonist of mitotic exit network 1 homolog
SSBP4	NM_032627/NM_001009998	single stranded DNA binding protein 4 isoform a/single stranded DNA binding protein 4 isoform b
PCDHA4	NM_018907/NM_031500	protocadherin alpha 4 isoform 1 precursor/protocadherin alpha 4 isoform 2 precursor
CAPZA2	NM_006136	capping protein (actin filament) muscle Z-line,
IFNA2	NM_000605	interferon, alpha 2
SNORD18A	NR_002441
SULT1A4	NM_001017390/NM_001017389	aryl sulfotransferase
CYFIP1	NM_001033028/NM_014608	cytoplasmic FMR1 interacting protein 1 isoform
XIRP1	NM_194293	xin actin-binding repeat containing 1
LOC442454	NR_002308
MAP1D	NM_199227	methionine aminopeptidase 1D
NPAS1	NM_002517	neuronal PAS domain protein 1
SNORD59B	NR_003046
MFAP3	NM_005927/NM_001135037/NR_024152	microfibrillar-associated protein 3 isoform 1/microfibrillar-associated protein 3 isoform 2
TRPV6	NM_018646	transient receptor potential cation channel,
SOCS6	NM_004232	suppressor of cytokine signaling 6
TAF7L	NM_024885	TATA box binding protein-associated factor, RNA
RAB37	NM_001006638/NM_175738	RAB37, member RAS oncogene family isoform 2/RAB37, member RAS oncogene family isoform 3
LMLN	NM_033029/NM_001136049	leishmanolysin-like (metallopeptidase M8 family)
YWHAE	NR_024058/NM_006761	tyrosine 3/tryptophan 5 -monooxygenase
CREG2	NM_153836	cellular repressor of E1A-stimulated genes 2
SNORD114-25	NR_003218
MOSPD2	NM_152581	motile sperm domain containing 2
ADAT2	NM_182503	deaminase domain containing 1
SYS1-DBNDD2	NR_003189
MGST3	NM_004528	microsomal glutathione S-transferase 3
BDNF	NM_170731/NM_170732/NM_170733/NM_170734/NM_170735/NM_001709	brain-derived neurotrophic factor isoform b/brain-derived neurotrophic factor isoform a/brain-derived neurotrophic factor isoform c
NDUFS8	NM_002496	NADH dehydrogenase (ubiquinone) Fe-S protein 8,
TFCP2L1	NM_014553	LBP-9
HSPB3	NM_006308	heat shock 27kDa protein 3
RBM4	NM_002896	RNA binding motif protein 4
CSF1	NM_000757/NM_172210/NM_172211/NM_172212	colony stimulating factor 1 isoform a precursor/colony stimulating factor 1 isoform b precursor/colony stimulating factor 1 isoform c precursor
TADA2L	NM_133439/NM_001488	transcriptional adaptor 2-like isoform b/transcriptional adaptor 2-like isoform a
FNIP1	NM_001008738/NM_133372	folliculin interacting protein 1 isoform 2/folliculin interacting protein 1 isoform 1
KRTAP11-1	NM_175858	keratin associated protein 11-1
MBOAT1	NM_001080480	membrane bound O-acyltransferase domain
SCIN	NM_001112706/NM_033128	scinderin isoform 1/scinderin isoform 2
LOC124220	NM_145252	hypothetical protein LOC124220
NPAL2	NM_024759	NIPA-like domain containing 2
MRPS11	NM_022839/NM_176805	mitochondrial ribosomal protein S11 isoform a/mitochondrial ribosomal protein S11 isoform b
MYO5B	NM_001080467	myosin VB
FAM86B1	NM_001083537/NR_003494	hypothetical protein LOC85002
FEM1B	NM_015322	fem-1 homolog b
LOC347376	NR_003933
MTHFSD	NM_022764	methenyltetrahydrofolate synthetase domain
TLX2	NM_016170	T-cell leukemia homeobox 2
POLM	NM_013284	polymerase (DNA directed), mu
UHRF2	NM_152896	ubiquitin-like with PHD and ring finger domains
CPLX1	NM_006651	complexin 1
C10orf92	NM_017609	hypothetical protein LOC54777
CENPH	NM_022909	centromere protein H
MRGPRX4	NM_054032	MAS-related GPR, member X4
ANKAR	NM_144708	ankyrin and armadillo repeat containing
ZNHIT1	NM_006349	zinc finger, HIT domain containing 1
S100A5	NM_002962	S100 calcium binding protein A5
EFHD1	NM_025202	EF-hand domain family, member D1
HIST1H4G	NM_003547	histone cluster 1, H4g
GOLGA2L1	NM_017600/NR_024261	golgi autoantigen, golgin subfamily a, 2-like 1
COPZ2	NM_016429	coatomer protein complex, subunit zeta 2
LCN12	NM_178536	lipocalcin 12
C9orf98	NM_152572	putative adenylate kinase-like protein C9orf98
NUDT7	NM_001105663/NR_024154	nudix motif 7
POLR2I	NM_006233	DNA directed RNA polymerase II polypeptide I
MYEF2	NM_016132	myelin expression factor 2
TMCO2	NM_001008740	transmembrane and coiled-coil domains 2
ANGPTL7	NM_021146	angiopoietin-like 7
SNAR-I	NR_024343
ODF3L2	NM_182577	outer dense fiber of sperm tails 3-like 2
KCNH2	NM_172057/NM_172056/NM_000238	voltage-gated potassium channel, subfamily H,
TSEN15	NM_001127394/NM_052965/NR_023349	tRNA splicing endonuclease 15 isoform 2/tRNA splicing endonuclease 15 isoform 1
CCDC122	NM_144974	coiled-coil domain containing 122
TUBA3C	NM_006001	tubulin, alpha 3c
SCARNA4	NR_003005
IGFALS	NM_004970	insulin-like growth factor binding protein, acid
NR0B1	NM_000475	nuclear receptor subfamily 0, group B, member 1
NPAT	NM_002519	nuclear protein,  ataxia-telangiectasia locus
ZNF547	NM_173631	zinc finger protein 547
KLHDC7B	NM_138433	kelch domain containing 7B
RASGRP2	NM_001098670/NM_153819/NM_001098671	RAS guanyl releasing protein 2
CDKL4	NM_001009565	cyclin-dependent kinase-like 4
TMEM217	NM_145316	transmembrane protein 217
CSTL1	NM_138283	cystatin-like 1 precursor
KIF16B	NM_024704	kinesin-like motor protein C20orf23
APOB	NM_000384	apolipoprotein B precursor
PIGR	NM_002644	polymeric immunoglobulin receptor
RCOR3	NM_018254/NM_001136223/NM_001136224/NM_001136225	REST corepressor 3 isoform d/REST corepressor 3 isoform a/REST corepressor 3 isoform b/REST corepressor 3 isoform c
NRP2	NM_003872/NM_201279/NM_018534/NM_201267/NM_201266/NM_201264	neuropilin 2 isoform 2 precursor/neuropilin 2 isoform 3 precursor/neuropilin 2 isoform 4 precursor/neuropilin 2 isoform 5 precursor/neuropilin 2 isoform 1 precursor/neuropilin 2 isoform 6 precursor
FUT6	NM_001040701/NM_000150	fucosyltransferase 6
CDH2	NM_001792	cadherin 2, type 1 preproprotein
CECR7	NR_015352
ACPT	NM_033068	testicular acid phosphatase precursor
GTF3A	NM_002097	transcription factor IIIA
ARID5B	NM_032199	AT rich interactive domain 5B (MRF1-like)
FLNC	NM_001127487/NM_001458	gamma filamin isoform b/gamma filamin isoform a
PRAF2	NM_007213	PRA1 domain family, member 2
KIAA0256	NM_014701	hypothetical protein LOC9728
AIM1L	NM_001039775	absent in melanoma 1-like
KRAS	NM_033360/NM_004985	c-K-ras2 protein isoform a precursor/c-K-ras2 protein isoform b precursor
GPR151	NM_194251	G protein-coupled receptor 151
ZRSR2	NM_005089	U2 small nuclear RNA auxiliary factor 1-like 2
C14orf147	NM_138288	hypothetical protein LOC171546
ZNF321	NM_203307	zinc finger protein 321
NECAP2	NM_018090	NECAP endocytosis associated 2
C4A	NM_007293	complement component 4A preproprotein
SOX2OT	NR_004053
DSG2	NM_001943	desmoglein 2 preproprotein
ISOC2	NM_024710/NM_001136201/NM_001136202	isochorismatase domain containing 2 isoform 2/isochorismatase domain containing 2 isoform 1/isochorismatase domain containing 2 isoform 3
C4orf37	NM_174952	hypothetical protein LOC285555
SIGLEC14	NM_001098612	sialic acid binding Ig-like lectin 14
HSPA4	NM_002154	heat shock 70kDa protein 4
SERPINB7	NM_003784/NM_001040147	serine (or cysteine) proteinase inhibitor, clade
DHX40	NM_024612	DEAH (Asp-Glu-Ala-His) box polypeptide 40
TMEM103	NM_001031703	transmembrane protein 103
SNORD4A	NR_000010
RAB26	NM_014353	RAB26, member RAS oncogene family
EVI5	NM_005665	ecotropic viral integration site 5
CAPN9	NM_016452/NM_006615	calpain 9 isoform 2/calpain 9 isoform 1
SNORA11E	NR_003712
IFT80	NM_020800	WD repeat domain 56
ENAM	NM_031889	enamelin
DLL1	NM_005618	delta-like 1
LSM10	NM_032881	LSM10, U7 small nuclear RNA associated
SPEM1	NM_199339	spermatid maturation 1
RGAG4	NM_001024455	retrotransposon gag domain containing 4
C12orf10	NM_021640	MYG1 protein
MYL6	NM_079423/NM_021019	myosin, light chain 6, alkali, smooth muscle and
NAGA	NM_000262	alpha-N-acetylgalactosaminidase precursor
C13orf39	NM_001010977	hypothetical protein LOC196541
HLA-DPB2	NR_001435
HSPA4L	NM_014278	heat shock 70kDa protein 4-like
PLXNC1	NM_005761	plexin C1
C14orf169	NM_024644	chromosome 14 open reading frame 169
POMZP3	NM_012230/NM_152992	POMZP3 fusion protein isoform 1/POMZP3 fusion protein isoform 2
LOC402665	NM_001101372	hypothetical protein LOC402665
ZNF441	NM_152355	zinc finger protein 441
CENPO	NM_024322	centromere protein O
MTTP	NM_000253	microsomal triglyceride transfer protein large
SSX9	NM_174962	synovial sarcoma, X breakpoint 9
KCTD5	NM_018992	potassium channel tetramerisation domain
CHRNB4	NM_000750	cholinergic receptor, nicotinic, beta 4
NYX	NM_022567	nyctalopin precursor
GZMK	NM_002104	granzyme K precursor
C1orf21	NM_030806	chromosome 1 open reading frame 21
TOM1L2	NM_001082968/NM_001033551	target of myb1-like 2 isoform 3/target of myb1-like 2 isoform 1
DYM	NM_017653	dymeclin
SNORD58C	NR_003701
TMEM165	NM_018475	transmembrane protein 165
MNDA	NM_002432	myeloid cell nuclear differentiation antigen
RAB21	NM_014999	RAB21, member RAS oncogene family
MSX2	NM_002449	msh homeobox 2
CPNE2	NM_152727	copine II
PBRM1	NM_018313/NM_018165/NM_181042	polybromo 1 isoform 2/polybromo 1 isoform 1/polybromo 1 isoform 4
CPB2	NM_016413/NM_001872	plasma carboxypeptidase B2 isoform b/plasma carboxypeptidase B2 isoform a
RNF20	NM_019592	ring finger protein 20
PIM1	NM_002648	non-specific serine/threonine protein kinase
CTF1	NM_001330	cardiotrophin 1
GRLF1	NM_004491	glucocorticoid receptor DNA binding factor 1
EGFL7	NM_016215/NM_201446	EGF-like-domain, multiple 7
USP9X	NM_001039590/NM_001039591	ubiquitin specific protease 9, X-linked isoform
FAM169A	NM_015566	hypothetical protein LOC26049
FCN2	NM_015837/NM_004108	ficolin 2 isoform b precursor/ficolin 2 isoform a precursor
NEK7	NM_133494	NIMA (never in mitosis gene a)-related kinase 7
NCRNA00093	NR_024130
F11	NM_000128	platelet coagulation factor XI precursor
LEFTY1	NM_020997	left-right determination, factor B
TCAM1	NR_002947
ATHL1	NM_025092	ATH1, acid trehalase-like 1
ATP2A1	NM_004320/NM_173201	ATPase, Ca++ transporting, fast twitch 1 isoform
PAXIP1	NM_007349	PAX interacting protein 1
SERINC2	NM_178865	tumor differentially expressed 2-like
ZC3HAV1	NM_020119/NM_024625	zinc finger antiviral protein isoform 1/zinc finger antiviral protein isoform 2
C14orf105	NM_018168	hypothetical protein LOC55195
SLBP	NM_006527	stem-loop (histone) binding protein
ZNF80	NM_007136	zinc finger protein 80
CCDC45	NM_138363	coiled-coil domain containing 45
FAM181B	NM_175885	hypothetical protein LOC220382
OR2T27	NM_001001824	olfactory receptor, family 2, subfamily T,
UBL4A	NM_014235	ubiquitin-like 4
LRRC66	NM_001024611	leucine rich repeat containing 66
RNF5P1	NR_003129
KAZALD1	NM_030929	Kazal-type serine peptidase inhibitor domain 1
NDUFA4L2	NM_020142	NADH:ubiquinone oxidoreductase MLRQ subunit
SLC19A3	NM_025243	solute carrier family 19, member 3
LOC338651	NR_021489
BNIP3	NM_004052	BCL2/adenovirus E1B 19kD-interacting protein 3
HIST3H2A	NM_033445	histone cluster 3, H2a
IQUB	NM_178827	IQ motif and ubiquitin domain containing
STEAP4	NM_024636	tumor necrosis factor, alpha-induced protein 9
HTR3B	NM_006028	5-hydroxytryptamine (serotonin) receptor 3B
FES	NM_002005	V-FES feline sarcoma viral/V-FPS fujinami avian
C11orf71	NM_019021	hypothetical protein LOC54494
CCDC120	NM_033626	coiled-coil domain containing 120
TTC25	NM_031421	tetratricopeptide repeat domain 25
OR6C74	NM_001005490	olfactory receptor, family 6, subfamily C,
NME6	NM_005793	nucleoside diphosphate kinase type 6
RORB	NM_006914	RAR-related orphan receptor B
CXorf58	NM_152761	hypothetical protein LOC254158
AP2M1	NM_001025205/NM_004068	adaptor-related protein complex 2, mu 1 subunit
STAC2	NM_198993	SH3 and cysteine rich domain 2
SNAPC4	NM_003086	small nuclear RNA activating complex,
SLC9A7	NM_032591	solute carrier family 9, member 7
KIAA1407	NM_020817	hypothetical protein LOC57577
P2RY1	NM_002563	purinergic receptor P2Y1
VAPB	NM_004738	VAMP-associated protein B/C
RAB27B	NM_004163	RAB27B, member RAS oncogene family
CTSS	NM_004079	cathepsin S preproprotein
H2BFXP	NR_003238
RPL7	NM_000971	ribosomal protein L7
LILRA2	NM_006866/NM_001130917	leukocyte immunoglobulin-like receptor,
TLL2	NM_012465	tolloid-like 2
LUC7L	NM_018032/NM_201412	LUC7-like isoform a/LUC7-like isoform b
QPCTL	NM_017659	glutaminyl-peptide cyclotransferase-like
ANO1	NM_018043	transmembrane protein 16A
SGSM1	NM_001039948/NM_133454/NM_001098497/NM_001098498	RUN and TBC1 domain containing 2 isoform 1/RUN and TBC1 domain containing 2 isoform 2/RUN and TBC1 domain containing 2 isoform 3/RUN and TBC1 domain containing 2 isoform 4
PRPF6	NM_012469	PRP6 pre-mRNA processing factor 6 homolog
UQCRFS1	NM_006003	ubiquinol-cytochrome c reductase, Rieske
ADH7	NM_000673	class IV alcohol dehydrogenase 7 mu or sigma
CLDN23	NM_194284	claudin 23
APOA5	NM_052968	apolipoprotein AV
INSL5	NM_005478	insulin-like 5 precursor
MYO1H	NM_001101421	myosin 1H
NAT6	NM_012191	N-acetyltransferase 6 (GCN5-related)
BLM	NM_000057	Bloom syndrome protein
NALCN	NM_052867	voltage gated channel like 1
CHST4	NM_005769	carbohydrate (N-acetylglucosamine 6-O)
UNC13D	NM_199242	unc-13 homolog D
PRUNE	NM_021222	prune homolog
SNORD75	NR_003941
SDC4	NM_002999	syndecan 4 precursor
IQWD1	NM_018442/NM_001017977	IQ motif and WD repeats 1 isoform a/IQ motif and WD repeats 1 isoform b
FHL2	NM_201555/NM_001039492/NM_201557/NM_001450	four and a half LIM domains 2
KIAA1107	NM_015237	hypothetical protein LOC23285
PSMB2	NM_002794	proteasome beta 2 subunit
CDC42BPG	NM_017525	CDC42 binding protein kinase gamma (DMPK-like)
WARS	NM_173701/NM_213646/NM_004184/NM_213645	tryptophanyl-tRNA synthetase isoform a/tryptophanyl-tRNA synthetase isoform b
PHOX2A	NM_005169	paired-like homeobox 2a
ZFPM1	NM_153813	zinc finger protein, multitype 1
ASPA	NM_000049/NM_001128085	aspartoacylase
CLDND1	NM_001040183/NM_001040200/NM_019895/NM_001040199/NM_001040181/NM_001040182	claudin domain containing 1 protein isoform a/claudin domain containing 1 protein isoform d/claudin domain containing 1 protein isoform b
MAGIX	NM_024859/NM_001099680/NM_001099681/NM_001099682	MAGI family member, X-linked isoform a/MAGI family member, X-linked isoform b/MAGI family member, X-linked isoform c/MAGI family member, X-linked isoform d
ITPKA	NM_002220	1D-myo-inositol-trisphosphate 3-kinase A
C10orf141	NM_001039762	hypothetical protein LOC642938
PCDHB2	NM_018936	protocadherin beta 2 precursor
CSF3	NM_000759/NM_172219/NM_172220	colony stimulating factor 3 isoform a precursor/colony stimulating factor 3 isoform b precursor/colony stimulating factor 3 isoform c
GPATCH4	NM_182679/NM_015590	G patch domain containing 4 isoform 2/G patch domain containing 4 isoform 1
PDPR	NM_017990	pyruvate dehydrogenase phosphatase regulatory
PPP2CB	NM_001009552/NM_004156	protein phosphatase 2, catalytic subunit, beta
B4GALT6	NM_004775	beta-1,4-galactosyltransferase 6
DOLPP1	NM_020438/NM_001135917	dolichyl pyrophosphate phosphatase 1 isoform a/dolichyl pyrophosphate phosphatase 1 isoform b
AP1M1	NM_032493/NM_001130524	adaptor-related protein complex 1, mu 1 subunit
C4orf8	NM_003704	hypothetical protein LOC8603
JHDM1D	NM_030647	jumonji C domain containing histone demethylase
CD7	NM_006137	CD7 antigen precursor
XKR7	NM_001011718	XK, Kell blood group complex subunit-related
FER1L4	NR_024377
EPRS	NM_004446	glutamyl-prolyl tRNA synthetase
B4GALT2	NM_003780/NM_001005417	UDP-Gal:betaGlcNAc beta 1,4-
KIAA1147	NM_001080392	hypothetical protein LOC57189
XAGE2	NM_130777	XAGE-2 protein
