NM_000367	TPMT	thiopurine S-methyltransferase
NM_001003794	MGLL	monoglyceride lipase isoform 2
NM_001003796	NHP2L1	NHP2 non-histone chromosome protein 2-like 1
NM_182707	PSG8	pregnancy specific beta-1-glycoprotein 8
NM_001003938	HBM	hypothetical protein LOC445449
NM_001003927	EVI2A	ecotropic viral integration site 2A isoform 1
NM_001003940	BMF	Bcl2 modifying factor isoform bmf-1
NM_001003942	BMF	Bcl2 modifying factor isoform bmf-2
NM_001003943	BMF	Bcl2 modifying factor isoform bmf-3
NM_001003676	MGC4707	hypothetical protein LOC79096 isoform 1
NM_001003677	MGC4707	hypothetical protein LOC79096 isoform 2
NM_001003678	MGC4707	hypothetical protein LOC79096 isoform 4
NM_001003945	ALAD	delta-aminolevulinic acid dehydratase isoform a
NM_176818	15E1.2	hypothetical protein LOC283459
NM_033141	MAP3K9	mitogen-activated protein kinase kinase kinase
NM_032534	KIAA1862	KIAA1862 protein
NM_025250	TTYH3	tweety 3
NM_017554	PARP14	poly (ADP-ribose) polymerase family, member 14
NM_017525	CDC42BPG	CDC42 binding protein kinase gamma (DMPK-like)
NM_015330	KIAA0376	hypothetical protein LOC23384
NM_015160	PMPCA	mitochondrial matrix processing protease, alpha
NM_015194	MYO1D	myosin ID
NM_014860	SUPT7L	SPTF-associated factor 65 gamma
NM_014861	KIAA0703	calcium-transporting ATPase 2C2
NM_014853	RUTBC1	RUN and TBC1 domain containing 1
NM_014813	LRIG2	leucine-rich repeats and immunoglobulin-like
NM_014828	C14orf92	epidermal Langerhans cell protein LCP1
NM_014649	SAFB2	scaffold attachment factor B2
NM_002181	IHH	Indian hedgehog homolog
NM_004999	MYO6	myosin VI
NM_001002836	LOC126208	hypothetical protein LOC126208
NM_001002916	H2BFWT	H2B histone family, member W, testis-specific
NM_001002919	LOC285016	hypothetical protein LOC285016
NM_001003399	DKFZp451A211	hypothetical protein LOC400169
NM_001003443	OR56A3	olfactory receptor, family 56, subfamily A,
NM_025154	UNC84A	unc-84 homolog A
NM_001003682	TTMB	hypothetical protein LOC399474
NM_001003845	SP5	Sp5 transcription factor
NM_001003937	TSPYL6	TSPY-like 6
NM_001002811	PDE4DIP	phosphodiesterase 4D interacting protein isoform
NM_001002812	PDE4DIP	phosphodiesterase 4D interacting protein isoform
NM_014422	PIB5PA	phosphatidylinositol (4,5) bisphosphate
NM_001002837	PIB5PA	phosphatidylinositol (4,5) bisphosphate
NM_014729	TOX	thymus high mobility group box protein TOX
NM_001002926	TWISTNB	TWIST neighbor
NM_020929	NGL-1	netrin-G1 ligand
NM_015072	KIAA0998	hypothetical protein LOC23093
NM_020810	KIAA1393	tRNA-(N1G37) methyltransferase
NM_015329	KIAA0892	hypothetical protein LOC23383
NM_001002909	KIAA0553	hypothetical protein LOC23131
NM_015347	KIAA0318	RIM-binding protein 2
NM_014002	IKBKE	IKK-related kinase epsilon
NM_017912	HERC6	hect domain and RLD 6 isoform a
NM_024602	HECTD3	hypothetical protein LOC79654
NM_024821	FLJ22349	hypothetical protein LOC79879
NM_017749	FLJ20294	hypothetical protein LOC55626
NM_018071	FLJ10357	hypothetical protein LOC55701
NM_018991	DKFZP434A0131	DKFZp434A0131 protein isoform 1
NM_001002840	DKFZP434A0131	DKFZp434A0131 protein isoform 2
NM_001002254	DGAT2L4	diacylglycerol O-acyltransferase 2-like 4
NM_152703	SAMD9L	sterile alpha motif domain containing 9-like
NM_001002879	C22orf19	Fms-interacting protein
NM_145230	ATP6V0E2L	ATPase, H+ transporting, V0 subunit
NM_001002877	C22orf19	Fms-interacting protein
NM_001002878	C22orf19	Fms-interacting protein
NM_012374	OR4D1	olfactory receptor, family 4, subfamily D,
NM_014990	GARNL1	GTPase activating Rap/RanGAP domain-like 1
NM_194301	GARNL1	GTPase activating Rap/RanGAP domain-like 1
NM_014675	CROCC	ciliary rootlet coiled-coil, rootletin
NM_001004054	POTE2	protein expressed in prostate, ovary, testis,
NM_206919	ARL9	ADP-ribosylation factor-like 9
NM_022359	PDE4DIP	phosphodiesterase 4D interacting protein isoform
NM_032142	Cep192	hypothetical protein LOC55125 isoform 1
NM_018069	Cep192	hypothetical protein LOC55125 isoform 2
NM_001003895	CDY1B	chromodomain protein, Y-linked, 1B isoform b
NM_001003894	CDY1B	chromodomain protein, Y-linked, 1B isoform a
NM_001002760	BPY2B	basic charge, Y-linked, 2B
NM_001002761	BPY2C	basic charge, Y-linked, 2C
NM_001004023	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation
NM_001003897	MANBAL	mannosidase, beta A, lysosomal-like
NM_001004051	GPRASP2	G protein-coupled receptor associated sorting
NM_001003811	TEX11	testis expressed sequence 11 isoform 1
NM_001002758	PRY2	PTPN13-like, Y-linked 2
NM_001002880	PGEA1	PKD2 interactor, golgi and endoplasmic reticulum
NM_001002810	PDE4DIP	phosphodiesterase 4D interacting protein isoform
NM_001004063	OR4K1	olfactory receptor, family 4, subfamily K,
NM_001004064	OR8J3	olfactory receptor, family 8, subfamily J,
NM_001002261	ZFYVE27	zinc finger, FYVE domain containing 27 isoform
NM_001002262	ZFYVE27	zinc finger, FYVE domain containing 27 isoform
NM_001003841	SLC6A19	solute carrier family 6 (neutral amino acid
NM_001002913	C9orf115	hypothetical protein LOC138428
NM_014431	KIAA1274	KIAA1274
NM_001002914	KCTD11	potassium channel tetramerisation domain
NM_001004059	OR4S2	olfactory receptor, family 4, subfamily S,
NM_020702	KIAA1161	KIAA1161
NM_001003808	LOC339457	hypothetical protein LOC339457
NM_001004058	OR8K5	olfactory receptor, family 8, subfamily K,
NM_001002901	FCRLM2	Fc receptor-like and mucin-like 2 isoform a
NM_020744	MTA3	metastasis associated 1 family, member 3
NM_001002915	IGFL2	insulin growth factor-like family member 2
NM_001002917	OR8D1	olfactory receptor, family 8, subfamily D,
NM_001002918	OR8D2	olfactory receptor, family 8, subfamily D,
NM_001002920	POTE8	protein expressed in prostate, ovary, testis,
NM_001002925	OR5AP2	olfactory receptor, family 5, subfamily AP,
NM_001002905	OR8G1	olfactory receptor, family 8, subfamily G,
NM_001004124	OR4P4	olfactory receptor, family 4, subfamily P,
NM_001002911	GPR139	G protein-coupled receptor 139
NM_001003936	TXNDC8	thioredoxin domain containing 8
NM_001004055	LRRC29	F-box and leucine-rich repeat protein 9
NM_001003941	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase
NM_001004056	GRK4	G protein-coupled receptor kinase 4 isoform
NM_001004057	GRK4	G protein-coupled receptor kinase 4 isoform
NM_001004019	FBLN2	fibulin 2 precursor, isoform a
NM_001004065	AKAP2	A kinase (PRKA) anchor protein 2
NM_001003803	ATP5S	ATP synthase, H+ transporting, mitochondrial F0
NM_001003805	ATP5S	ATP synthase, H+ transporting, mitochondrial F0
NM_001002258	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0
NM_001002027	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0
NM_024605	ARHGAP10	Rho GTPase activating protein 10
NM_001002257	LYCAT	lysocardiolipin acyltransferase isoform 2
NM_001003800	BICD2	bicaudal D homolog 2 isoform 1
NM_001003962	CAPNS1	calpain, small subunit 1
NM_022833	C9orf88	hypothetical protein LOC64855
NM_001002876	C22orf18	proliferation associated nuclear element 1
NM_001002762	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12
NM_015635	GAPVD1	GTPase activating protein and VPS9 domains 1
NM_019042	FLJ20485	hypothetical protein LOC54517
NM_001001971	FAM13C1	hypothetical protein LOC220965 isoform 2
NM_001003722	GLE1L	GLE1-like, RNA export mediator isoform 1
NM_015554	GLCE	D-glucuronyl C5-epimerase
NM_001003725	WDR68	WD-repeat protein
NM_001003760	KBTBD1	kelch repeat and BTB (POZ) domain containing 1
NM_001001936	KIAA1914	KIAA1914 protein isoform 1
NM_001003788	LYK5	protein kinase LYK5 isoform 4
NM_001003786	LYK5	protein kinase LYK5 isoform 2
NM_001003787	LYK5	protein kinase LYK5 isoform 1
NM_001002266	MARCH8	cellular modulator of immune recognition
NM_001002265	MARCH8	cellular modulator of immune recognition
NM_025112	ZXDC	hypothetical protein LOC79364
NM_015274	MAN2B2	mannosidase, alpha, class 2B, member 2
NM_001002006	NT5C1B	5' nucleotidase, cytosolic IB isoform 1
NM_001003935	PARP3	poly (ADP-ribose) polymerase family, member 3
NM_001003931	PARP3	poly (ADP-ribose) polymerase family, member 3
NM_001002844	SUHW4	suppressor of hairy wing homolog 4 isoform 3
NM_017661	SUHW4	suppressor of hairy wing homolog 4 isoform 1
NM_001002843	SUHW4	suppressor of hairy wing homolog 4 isoform 2
NM_001004127	LOC440138	hypothetical protein LOC440138
NM_173681	NOS3AS	nitric oxide synthase 3 antisense
NM_001004126	ZNF505	zinc finger protein 505 isoform b
NM_001003954	ANXA13	annexin A13 isoform b
NM_001004105	GRK6	G protein-coupled receptor kinase 6 isoform C
NM_001004106	GRK6	G protein-coupled receptor kinase 6 isoform A
NM_001004053	ACTBL1	protein expressed in prostate, ovary, testis,
NM_001004136	OR2T2	olfactory receptor, family 2, subfamily T,
NM_001003806	TARP	TCR gamma alternate reading frame protein
NM_001003799	TARP	TCR gamma alternate reading frame protein
NM_001004128	QSCN6	quiescin Q6 isoform b
NM_001004067	NOMO3	nodal modulator 3
NM_001004060	NOMO2	nodal modulator 2 isoform 1
NM_001004135	OR2A12	olfactory receptor, family 2, subfamily A,
NM_001004137	OR52M1	olfactory receptor, family 52, subfamily M,
NM_001004134	OR10AD1	olfactory receptor, family 10, subfamily AD,
NM_001003795	GTF2IRD2B	GTF2IRD2 beta
NM_033266	ERN2	endoplasmic reticulum to nucleus signalling 2
NM_001004195	OR4F4	olfactory receptor, family 4, subfamily F,
NM_001004125	TUSC1	tumor suppressor candidate 1
NM_153710	C9orf96	hypothetical protein LOC169436
NM_018211	KIAA1579	hypothetical protein LOC55225
NM_001004298	C10orf90	hypothetical protein LOC118611
NM_001004300	LOC124411	hypothetical protein LOC124411
NM_001004297	OR13A1	olfactory receptor, family 13, subfamily A,
NM_001004302	LOC155060	hypothetical protein LOC155060
NM_001004299	FLJ43980	hypothetical protein LOC124149
NM_001004304	LOC283337	hypothetical protein LOC283337
NM_001004301	FLJ16542	hypothetical protein LOC126017
NM_001004306	MGC87631	hypothetical protein LOC339184
NM_001004303	LOC199920	hypothetical protein LOC199920
NM_001004308	ZCCHC16	hypothetical protein LOC340595
NM_001004305	LOC284757	hypothetical protein LOC284757
NM_001004310	FCRL6	Fc receptor-like 6
NM_001004307	MGC33556	hypothetical protein LOC339541
NM_001004312	RTP2	receptor transporting protein 2
NM_001004309	MGC75360	hypothetical protein LOC342132
NM_001004313	LOC388335	hypothetical protein LOC388335
NM_001004315	FLJ46210	hypothetical protein LOC389152
NM_001004316	FLJ16641	hypothetical protein LOC389170
NM_001004318	FLJ16165	hypothetical protein LOC390928
NM_001004320	FLJ16237	hypothetical protein LOC392636
NM_001004317	FLJ16517	hypothetical protein LOC389421
NM_001004322	FLJ38717	hypothetical protein LOC401261
NM_001004319	VHLL	von Hippel-Lindau tumor suppressor-like
NM_001004325	KRTAP5-2	keratin associated protein 5-2
NM_001004321	FLJ45445	hypothetical protein LOC399844
NM_001004327	FLJ42258	hypothetical protein LOC440049
NM_001004323	LOC402573	hypothetical protein LOC402573
NM_001004311	FIGLA	factor in the germline alpha
NM_001004329	DBX2	developing brain homeobox 2
NM_001004326	FLJ16331	hypothetical protein LOC440044
NM_001004331	MGC88374	hypothetical protein LOC440184
NM_001004328	FLJ16353	hypothetical protein LOC440077
NM_001004333	MGC71993	hypothetical protein LOC440400
NM_001004330	FLJ46688	hypothetical protein LOC440107
NM_001004335	FLJ42842	hypothetical protein LOC440446
NM_001004332	FLJ41170	hypothetical protein LOC440200
NM_001004334	GPR158L1	GPR158-like 1
NM_001004336	FLJ90757	hypothetical protein LOC440465
NM_001004338	EPHA10	EPH receptor A10
NM_001004339	ZYG11A	hypothetical protein LOC440590
NM_001004340	LOC440607	Fc-gamma receptor I B2 isoform b
NM_001004341	FLJ16478	hypothetical protein LOC440695
NM_001004343	MAP1LC3C	microtubule-associated protein 1 light chain 3
NM_001004345	FLJ16124	hypothetical protein LOC440867
NM_001004342	TRIM67	hypothetical protein LOC440730
NM_001004344	MGC44328	hypothetical protein LOC440757
NM_001004346	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+
NM_001004348	FLJ16171	hypothetical protein LOC441116
NM_001004351	MGC57359	hypothetical protein LOC441272
NM_001004352	FLJ16323	hypothetical protein LOC441390
NM_001004353	LOC441476	hypothetical protein LOC441476
NM_001004354	MGC61598	similar to ankyrin-repeat protein Nrarp
NM_001004355	FLJ31132	hypothetical protein LOC441522
NM_199283	LOC220686	hypothetical protein LOC220686
NM_001004285	DFFB	DNA fragmentation factor, 40 kD, beta
NM_001004286	DFFB	DNA fragmentation factor, 40 kD, beta
NM_001004356	FGFRL1	fibroblast growth factor receptor-like 1
NM_001004358	FGFRL1	fibroblast growth factor receptor-like 1
NM_001004197	CD200	CD200 antigen isoform c
NM_001004196	CD200	CD200 antigen isoform b
NM_001004755	OR51L1	olfactory receptor, family 51, subfamily L,
NM_001004748	OR51A2	olfactory receptor, family 51, subfamily A,
NM_001004751	OR51D1	olfactory receptor, family 51, subfamily D,
NM_001004758	OR51S1	olfactory receptor, family 51, subfamily S,
NM_001004713	OR1I1	olfactory receptor, family 1, subfamily I,
NM_001004451	OR1J1	olfactory receptor, family 1, subfamily J,
NM_001004457	OR1N2	olfactory receptor, family 1, subfamily N,
NM_001004459	OR1S2	olfactory receptor, family 1, subfamily S,
NM_001004453	OR1L6	olfactory receptor, family 1, subfamily L,
NM_001004462	OR10G4	olfactory receptor, family 10, subfamily G,
NM_001004458	OR1S1	olfactory receptor, family 1, subfamily S,
NM_001004476	OR10K2	olfactory receptor, family 10, subfamily K,
NM_001004460	OR10A2	olfactory receptor, family 10, subfamily A,
NM_001004481	OR13C2	olfactory receptor, family 13, subfamily C,
NM_001004474	OR10S1	olfactory receptor, family 10, subfamily S,
NM_001004477	OR10X1	olfactory receptor, family 10, subfamily X,
NM_001004484	OR13D1	olfactory receptor, family 13, subfamily D,
NM_001004488	OR2A25	olfactory receptor, family 2, subfamily A,
NM_001004491	OR2AK2	olfactory receptor, family 2, subfamily AK,
NM_001004492	OR2B11	olfactory receptor, family 2, subfamily B,
NM_001004684	OR2D3	olfactory receptor, family 2, subfamily D,
NM_001004685	OR2F2	olfactory receptor, family 2, subfamily F,
NM_001004687	OR2L3	olfactory receptor, family 2, subfamily L,
NM_001004689	OR2M3	olfactory receptor, family 2, subfamily M,
NM_001004686	OR2L2	olfactory receptor, family 2, subfamily L,
NM_001004688	OR2M2	olfactory receptor, family 2, subfamily M,
NM_001004690	OR2M5	olfactory receptor, family 2, subfamily M,
NM_001004691	OR2M7	olfactory receptor, family 2, subfamily M,
NM_001004692	OR2T12	olfactory receptor, family 2, subfamily T,
NM_001004693	OR2T10	olfactory receptor, family 2, subfamily T,
NM_001004694	OR2T29	olfactory receptor, family 2, subfamily T,
NM_001004695	OR2T33	olfactory receptor, family 2, subfamily T,
NM_001004696	OR2T4	olfactory receptor, family 2, subfamily T,
NM_001004697	OR2T5	olfactory receptor, family 2, subfamily T,
NM_001004698	OR2W5	olfactory receptor, family 2, subfamily W,
NM_001004699	OR2Z1	olfactory receptor, family 2, subfamily Z,
NM_001004701	OR4C16	olfactory receptor, family 4, subfamily C,
NM_001004700	OR4C11	olfactory receptor, family 4, subfamily C,
NM_001004702	OR4C3	olfactory receptor, family 4, subfamily C,
NM_001004704	OR4C6	olfactory receptor, family 4, subfamily C,
NM_001004705	OR4D10	olfactory receptor, family 4, subfamily D,
NM_001004706	OR4D11	olfactory receptor, family 4, subfamily D,
NM_001004707	OR4D2	olfactory receptor, family 4, subfamily D,
NM_001004708	OR4D6	olfactory receptor, family 4, subfamily D,
NM_001004711	OR4D9	olfactory receptor, family 4, subfamily D,
NM_001004712	OR4K14	olfactory receptor, family 4, subfamily K,
NM_001004715	OR4K17	olfactory receptor, family 4, subfamily K,
NM_001004719	OR4M2	olfactory receptor, family 4, subfamily M,
NM_001004714	OR4K13	olfactory receptor, family 4, subfamily K,
NM_001004731	OR5AU1	olfactory receptor, family 5, subfamily AU,
NM_001004717	OR4L1	olfactory receptor, family 4, subfamily L,
NM_001004741	OR5M10	olfactory receptor, family 5, subfamily M,
NM_001004723	OR4N2	olfactory receptor, family 4, subfamily N,
NM_001004754	OR51I2	olfactory receptor, family 51, subfamily I,
NM_001004734	OR5BU1	olfactory receptor, family 5, subfamily BU,
NM_001004753	OR51F2	olfactory receptor, family 51, subfamily F,
NM_001004756	OR51M1	olfactory receptor, family 51, subfamily M,
NM_001004759	OR51T1	olfactory receptor, family 51, subfamily T,
NM_001004760	OR51V1	olfactory receptor, family 51, subfamily V,
NM_001004431	METRNL	meteorin, glial cell differentiation
NM_015041	CLUAP1	clusterin associated protein 1
NM_001004433	SLC30A10	solute carrier family 30 (zinc transporter),
NM_001004434	SLC30A2	solute carrier family 30, member 2 isoform 1
NM_175888	ZNF620	zinc finger protein 620
NM_001005161	OR52B4	olfactory receptor, family 52, subfamily B,
NM_001005162	OR52B6	olfactory receptor, family 52, subfamily B,
NM_003983	SLC7A6	solute carrier family 7 (cationic amino acid
NM_001005164	OR52E2	olfactory receptor, family 52, subfamily E,
NM_001005165	OR52E4	olfactory receptor, family 52, subfamily E,
NM_001005166	OR52E5	olfactory receptor, family 52, subfamily E,
NM_001005167	OR52E6	olfactory receptor, family 52, subfamily E,
NM_001005171	OR52K1	olfactory receptor, family 52, subfamily K,
NM_001005173	OR52L1	olfactory receptor, family 52, subfamily L,
NM_001005175	OR52N4	olfactory receptor, family 52, subfamily N,
NM_001005172	OR52K2	olfactory receptor, family 52, subfamily K,
NM_001005181	OR56B4	olfactory receptor, family 56, subfamily B,
NM_001005174	OR52N2	olfactory receptor, family 52, subfamily N,
NM_001005186	OR6Q1	olfactory receptor, family 6, subfamily Q,
NM_001005178	OR52W1	olfactory receptor, family 52, subfamily W,
NM_001005188	OR6X1	olfactory receptor, family 6, subfamily X,
NM_001005185	OR6N1	olfactory receptor, family 6, subfamily N,
NM_001005187	OR6T1	olfactory receptor, family 6, subfamily T,
NM_001005189	OR6Y1	olfactory receptor, family 6, subfamily Y,
NM_001005191	OR7D4	olfactory receptor, family 7, subfamily D,
NM_001005192	OR7G1	olfactory receptor, family 7, subfamily G,
NM_001005196	OR8B4	olfactory receptor, family 8, subfamily B,
NM_001005197	OR8D4	olfactory receptor, family 8, subfamily D,
NM_001005199	OR8H1	olfactory receptor, family 8, subfamily H,
NM_001005200	OR8H2	olfactory receptor, family 8, subfamily H,
NM_001005201	OR8H3	olfactory receptor, family 8, subfamily H,
NM_001005203	OR8S1	olfactory receptor, family 8, subfamily S,
NM_001005205	OR8J1	olfactory receptor, family 8, subfamily J,
NM_001005202	OR8K3	olfactory receptor, family 8, subfamily K,
NM_001005209	MGC99813	hypothetical protein LOC130612
NM_001005204	OR8U1	olfactory receptor, family 8, subfamily U,
NM_001005210	FLJ45686	hypothetical protein LOC219527
NM_001005213	OR9G1	olfactory receptor, family 9, subfamily G,
NM_001005214	FLJ25811	hypothetical protein LOC440699
NM_001005217	FRG2	FSHD region gene 2 protein
NM_001005160	OR52A5	olfactory receptor, family 52, subfamily A,
NM_001005168	OR52E8	olfactory receptor, family 52, subfamily E,
NM_001005170	OR52I2	olfactory receptor, family 52, subfamily I,
NM_001005163	OR52D1	olfactory receptor, family 52, subfamily D,
NM_001005169	OR52I1	olfactory receptor, family 52, subfamily I,
NM_001005177	OR52R1	olfactory receptor, family 52, subfamily R,
NM_001005179	OR56A4	olfactory receptor, family 56, subfamily A,
NM_001005180	OR56B1	olfactory receptor, family 56, subfamily B,
NM_001005184	OR6K6	olfactory receptor, family 6, subfamily K,
NM_001005190	OR7A10	olfactory receptor, family 7, subfamily A,
NM_001005193	OR7G2	olfactory receptor, family 7, subfamily G,
NM_001005194	OR8A1	olfactory receptor, family 8, subfamily A,
NM_001005195	OR8B12	olfactory receptor, family 8, subfamily B,
NM_020237	C8orf17	MOST-1 protein
NM_001005198	OR8G5	olfactory receptor, family 8, subfamily G,
NM_001004757	OR51Q1	olfactory receptor, family 51, subfamily Q,
NM_001005182	OR6C1	olfactory receptor, family 6, subfamily C,
NM_001004750	OR51B6	olfactory receptor, family 51, subfamily B,
NM_001004752	OR51F1	olfactory receptor, family 51, subfamily F,
NM_001004703	OR4C46	olfactory receptor, family 4, subfamily C,
NM_001004467	OR10J3	olfactory receptor, family 10, subfamily J,
NM_001004490	OR2AG2	olfactory receptor, family 2, subfamily AG,
NM_001005222	OR52A4	olfactory receptor, family 52, subfamily A,
NM_001005221	OR4F29	olfactory receptor, family 4, subfamily F,
NM_001005224	OR4F3	olfactory receptor, family 4, subfamily F,
NM_001005183	OR6C76	olfactory receptor, family 6, subfamily C,
NM_152426	APOBEC3D	apolipoprotein B mRNA editing enzyme, catalytic
NM_001004360	DPP10	dipeptidylpeptidase 10 isoform 2
NM_001004419	CLEC2D	osteoclast inhibitory lectin isoform 2
NM_001004420	CLEC2D	osteoclast inhibitory lectin isoform 3
NM_001004417	FMNL2	formin-like 2 isoform D
NM_001004421	FMNL2	formin-like 2 isoform A
NM_001004422	FMNL2	formin-like 2 isoform C
NM_001004439	ITGA11	integrin, alpha 11 precursor
NM_001004426	PLA2G6	phospholipase A2, group VI isoform b
NM_001004440	FAM19A3	family with sequence similarity 19 (chemokine
NM_020449	THOC2	THO complex 2
NM_001005207	TRIM37	tripartite motif-containing 37 protein
NM_015051	TXNDC4	thioredoxin domain containing 4 (endoplasmic
NM_001005176	SP140	SP140 nuclear body protein isoform 2
NM_054106	OR5AC2	olfactory receptor, family 5, subfamily AC,
NM_001005234	OR1L3	olfactory receptor, family 1, subfamily L,
NM_001005235	OR1L4	olfactory receptor, family 1, subfamily L,
NM_001005238	OR51G2	olfactory receptor, family 51, subfamily G,
NM_001005239	OR11H1	olfactory receptor, family 11, subfamily H,
NM_001005237	OR51G1	olfactory receptor, family 51, subfamily G,
NM_001005236	OR1L1	olfactory receptor, family 1, subfamily L,
NM_001005240	OR4F17	olfactory receptor, family 4, subfamily F,
NM_001005283	OR9Q2	olfactory receptor, family 9, subfamily Q,
NM_001005241	OR4N4	olfactory receptor, family 4, subfamily N,
NM_001005243	OR9K2	olfactory receptor, family 9, subfamily K,
NM_001005245	OR5M11	olfactory receptor, family 5, subfamily M,
NM_001005272	OR4A5	olfactory receptor, family 4, subfamily A,
NM_001005275	OR4A15	olfactory receptor, family 4, subfamily A,
NM_001005276	OR2AE1	olfactory receptor, family 2, subfamily AE,
NM_001005274	OR4A16	olfactory receptor, family 4, subfamily A,
NM_001005279	OR6K2	olfactory receptor, family 6, subfamily K,
NM_001005278	OR6N2	olfactory receptor, family 6, subfamily N,
NM_001005280	OR10A7	olfactory receptor, family 10, subfamily A,
NM_001005282	OR5M8	olfactory receptor, family 5, subfamily M,
NM_001005286	OR6F1	olfactory receptor, family 6, subfamily F,
NM_001005289	OR52H1	olfactory receptor, family 52, subfamily H,
NM_001005303	FLJ46347	hypothetical protein LOC389064
NM_001001920	OR4C15	olfactory receptor, family 4, subfamily C,
NM_001005211	OR9I1	olfactory receptor, family 9, subfamily I,
NM_001005212	OR9Q1	olfactory receptor, family 9, subfamily Q,
NM_001005288	OR51I1	olfactory receptor, family 51, subfamily I,
NM_001005270	OR4C12	olfactory receptor, family 4, subfamily C,
NM_001005277	OR4F16	olfactory receptor, family 4, subfamily F,
NM_001005284	OR9G4	olfactory receptor, family 9, subfamily G,
NM_001005287	OR2A1	olfactory receptor, family 2, subfamily A,
NM_001005281	OR6B1	olfactory receptor, family 6, subfamily B,
NM_001005285	OR2AT4	olfactory receptor, family 2, subfamily AT,
NM_005852	CHD3	chromodomain helicase DNA binding protein 3
NM_001005271	CHD3	chromodomain helicase DNA binding protein 3
NM_001005273	CHD3	chromodomain helicase DNA binding protein 3
NM_001005266	C15orf21	D-PCa-2 protein isoform a
NM_001005267	C15orf21	D-PCa-2 protein isoform a
NM_001005268	C15orf21	D-PCa-2 protein isoform b
NM_001005269	C15orf21	D-PCa-2 protein isoform b
NM_001005290	DDA3	p53-regulated DDA3 isoform b
NM_001005291	SREBF1	sterol regulatory element binding transcription
NM_001004720	NCK2	NCK adaptor protein 2 isoform A
NM_001004722	NCK2	NCK adaptor protein 2 isoform B
NM_001005242	PKP2	plakophilin 2 isoform 2a
NM_005665	EVI5	ecotropic viral integration site 5
NM_001005332	MAGED1	melanoma antigen family D, 1 isoform b
NM_001005333	MAGED1	melanoma antigen family D, 1 isoform a
NM_001005335	HNRPL	heterogeneous nuclear ribonucleoprotein L
NM_001005325	OR6M1	olfactory receptor, family 6, subfamily M,
NM_001005329	OR51A4	olfactory receptor, family 51, subfamily A,
NM_001005324	OR10V1	olfactory receptor, family 10, subfamily V,
NM_001005326	OR4F6	olfactory receptor, family 4, subfamily F,
NM_001005323	OR5AK2	olfactory receptor, family 5, subfamily AK,
NM_001005327	OR6K3	olfactory receptor, family 6, subfamily K,
NM_012353	OR1C1	olfactory receptor, family 1, subfamily C,
NM_017504	OR2M4	olfactory receptor, family 2, subfamily M,
NM_001005328	OR2A7	olfactory receptor, family 2, subfamily A,
NM_001005340	GPNMB	glycoprotein (transmembrane) nmb isoform a
NM_001005339	RGS10	regulator of G-protein signaling 10 isoform a
NM_001005334	OR3A4	olfactory receptor, family 3, subfamily A,
NM_017592	IXL	intersex-like
NM_174893	MGC49942	hypothetical protein LOC124944
NM_001005338	OR5H1	olfactory receptor, family 5, subfamily H,
NM_001005359	POTE2	protein expressed in prostate, ovary, testis,
NM_001005364	POTE2	protein expressed in prostate, ovary, testis,
NM_001005356	POTE14	protein expressed in prostate, ovary, testis,
NM_001005357	POTE14	protein expressed in prostate, ovary, testis,
NM_001005372	FLJ12760	hypothetical protein LOC339175
NM_001005404	YPEL2	yippee-like 2
NM_001005405	KRTAP5-11	keratin associated protein 5-11
NM_001005386	ACTR2	actin-related protein 2 isoform a
NM_001005158	SFMBT1	Scm-like with four mbt domains 1
NM_001005159	SFMBT1	Scm-like with four mbt domains 1
NM_015090	NFASC	neurofascin isoform 2
NM_001005413	ZWINT	ZW10 interactor isoform b
NM_001005414	ZWINT	ZW10 interactor isoform c
NM_001005415	MARCH2	membrane-associated ring finger (C3HC4) 2
NM_001005416	MARCH2	membrane-associated ring finger (C3HC4) 2
NM_001005369	MTIF2	mitochondrial translational initiation factor 2
NM_001005337	PKP1	plakophilin 1 isoform 1a
NM_001005373	LRSAM1	leucine rich repeat and sterile alpha motif
NM_001005374	LRSAM1	leucine rich repeat and sterile alpha motif
NM_001005365	POTE8	protein expressed in prostate, ovary, testis,
NM_001005411	FCGR2C	Fc fragment of IgG, low affinity IIc, receptor
NM_001005412	FCGR2C	Fc fragment of IgG, low affinity IIc, receptor
NM_001005410	FCGR2C	Fc fragment of IgG, low affinity IIc, receptor
NM_001548	IFIT1	interferon-induced protein with
NM_001005417	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4-
NM_001005354	DKFZp564J157	hypothetical protein LOC54458 isoform 2
NM_001005355	DKFZp564J157	hypothetical protein LOC54458 isoform 1
NM_001005368	ZNF32	zinc finger protein 32
NM_030904	OR2T1	olfactory receptor, family 2, subfamily T,
NM_001003745	OR10A3	olfactory receptor, family 10, subfamily A,
NM_001005466	OR10G2	olfactory receptor, family 10, subfamily G,
NM_001005467	OR8B3	olfactory receptor, family 8, subfamily B,
NM_001005465	OR10G3	olfactory receptor, family 10, subfamily G,
NM_001005469	OR5B3	olfactory receptor, family 5, subfamily B,
NM_001005468	OR8B2	olfactory receptor, family 8, subfamily B,
