MYO9B	NM_001130065	myosin IXB isoform 2
KCNQ4	NM_004700	potassium voltage-gated channel KQT-like protein
PLEKHG4	NM_015432	pleckstrin homology domain containing, family G
SLC44A5	NM_152697	solute carrier family 44, member 5 isoform A
RALGPS1	NM_014636	Ral GEF with PH domain and SH3 binding motif 1
AKAP9	NM_147166	A-kinase anchor protein 9 isoform 4
PTCHD3	NM_001034842	patched domain containing 3
SDHC	NM_001035511	succinate dehydrogenase complex, subunit C
SLC9A3R1	NM_004252	solute carrier family 9 (sodium/hydrogen
SYNE2	NM_182910	spectrin repeat containing, nuclear envelope 2
GRIN2A	NM_000833	N-methyl-D-aspartate receptor subunit 2A
PIR	NM_003662	pirin
E2F5	NM_001083589	E2F transcription factor 5 isoform 3
JRKL	NM_003772	jerky homolog-like
C15orf17	NM_020447	hypothetical protein LOC57184
ACPL2	NM_152282	acid phosphatase-like 2
MBD3	NM_003926	methyl-CpG binding domain protein 3
CTSO	NM_001334	cathepsin O preproprotein
FAM129A	NM_052966	niban protein isoform 2
LYPD3	NM_014400	GPI-anchored metastasis-associated protein
EFHD2	NM_024329	EF-hand domain family, member D2
PCDHGA5	NM_032054	protocadherin gamma subfamily A, 5 isoform 2
ARL6	NM_177976	ADP-ribosylation factor-like 6
DNM1	NM_001005336	dynamin 1 isoform 2
TMEM54	NM_033504	transmembrane protein 54
PRPF6	NM_012469	PRP6 pre-mRNA processing factor 6 homolog
ARF1	NM_001024228	ADP-ribosylation factor 1
VSNL1	NM_003385	visinin-like 1
BAZ1B	NM_032408	bromodomain adjacent to zinc finger domain, 1B
DEFB121	NM_001011878	defensin, beta 121
PDE9A	NM_001001570	phosphodiesterase 9A isoform e
CMTM1	NM_181268	chemokine-like factor superfamily 1 isoform 14
ADAM22	NM_021721	ADAM metallopeptidase domain 22 isoform 5
MRPL33	NM_004891	mitochondrial ribosomal protein L33 isoform a
ZNF326	NM_182976	zinc finger protein 326 isoform 1
GPX3	NM_002084	glutathione peroxidase 3 precursor
CCDC37	NM_182628	coiled-coil domain containing 37
CBWD6	NM_001085457	COBW domain containing 6
PRR7	NM_030567	proline rich 7 (synaptic)
LCE1D	NM_178352	late cornified envelope 1D
ZNF502	NM_033210	zinc finger protein 502
ST5	NM_213618	suppression of tumorigenicity 5 isoform 1
ABCG1	NM_004915	ATP-binding cassette sub-family G member 1
HNRNPK	NM_002140	heterogeneous nuclear ribonucleoprotein K
ZNF263	NM_005741	zinc finger protein 263
TM4SF1	NM_014220	transmembrane 4 superfamily member 1
HCCA2	NM_053005	HCCA2 protein
LYST	NM_000081	lysosomal trafficking regulator
NRXN2	NM_138734	neurexin 2 isoform beta precursor
HM13	NM_178582	minor histocompatibility antigen 13 isoform 4
PYGO1	NM_015617	pygopus homolog 1
DAPK2	NM_014326	death-associated protein kinase 2
ISL2	NM_145805	ISL LIM homeobox 2
ZNF835	NM_001005850	zinc finger protein 835
ASPH	NM_032467	aspartate beta-hydroxylase isoform d
CS	NM_198324	citrate synthase precursor, isoform b
THOC5	NM_001002878	THO complex 5
DAZAP2	NM_014764	DAZ associated protein 2
PSRC1	NM_001032291	proline/serine-rich coiled-coil 1 isoform a
CSDE1	NM_007158	upstream of NRAS isoform 2
BCL11A	NM_022893	B-cell CLL/lymphoma 11A isoform 1
KCNIP2	NM_173191	Kv channel interacting protein 2 isoform 2
TOM1L2	NM_001033551	target of myb1-like 2 isoform 1
GMNN	NM_015895	geminin
MED8	NM_052877	mediator complex subunit 8 isoform 3
PTPRA	NM_080841	protein tyrosine phosphatase, receptor type, A
VPS13C	NM_017684	vacuolar protein sorting 13C protein isoform 1A
C16orf87	NM_001001436	hypothetical protein LOC388272
METT11D1	NM_022734	methyltransferase 11 domain containing 1 isoform
AURKA	NM_198435	serine/threonine protein kinase 6
ADRA1A	NM_033302	alpha-1A-adrenergic receptor isoform 3
TRPC3	NM_003305	transient receptor potential cation channel,
STEAP2	NM_001040665	six transmembrane epithelial antigen of the
C17orf81	NM_203413	S-phase 2 protein isoform 2
LIMCH1	NM_001112720	LIM and calponin homology domains 1 isoform e
LOC153364	NM_203406	similar to metallo-beta-lactamase superfamily
EMR1	NM_001974	egf-like module containing, mucin-like, hormone
CHERP	NM_006387	calcium homeostasis endoplasmic reticulum
WNT11	NM_004626	wingless-type MMTV integration site family,
ZNF585A	NM_152655	zinc finger protein 585A
ADD3	NM_019903	adducin 3 (gamma) isoform b
TMPRSS7	NM_001042575	transmembrane protease, serine 7
FGD5	NM_152536	FYVE, RhoGEF and PH domain containing 5
RSRC1	NM_016625	arginine/serine-rich coiled-coil 1
OGT	NM_181673	O-linked GlcNAc transferase isoform 2
SLC16A4	NM_004696	solute carrier family 16, member 4
CD68	NM_001251	CD68 antigen isoform A
TSGA14	NM_018718	testis specific, 14
SEPT6	NM_145800	septin 6 isoform A
GNL3	NM_206826	guanine nucleotide binding protein-like 3
CCNG2	NM_004354	cyclin G2
CSTF2	NM_001325	cleavage stimulation factor subunit 2
PRSS8	NM_002773	prostasin preproprotein
C19orf63	NM_175063	hematopoietic signal peptide-containing isoform
MCTP2	NM_018349	multiple C2 domains, transmembrane 2
C1QTNF3	NM_181435	C1q and tumor necrosis factor related protein 3
MAGEB6	NM_173523	melanoma antigen family B, 6
RAB24	NM_130781	RAB24 gene product
PRKACG	NM_002732	protein kinase, cAMP-dependent, catalytic,
C17orf47	NM_001038704	hypothetical protein LOC284083
ALS2CR4	NM_152388	amyotrophic lateral sclerosis 2 (juvenile)
ZNF491	NM_152356	zinc finger protein 491
WBP11	NM_016312	WW domain binding protein 11
ICK	NM_014920	intestinal cell kinase
MGC70863	NM_203302	similar to RPL23AP7 protein
ESCO2	NM_001017420	establishment of cohesion 1 homolog 2
STEAP2	NM_001040666	six transmembrane epithelial antigen of the
NAV1	NM_020443	neuron navigator 1
RAP1GDS1	NM_001100429	RAP1, GTP-GDP dissociation stimulator 1 isoform
SAMD10	NM_080621	sterile alpha motif domain containing 10
TTLL10	NM_153254	tubulin tyrosine ligase-like family, member 10
CYB561	NM_001017916	cytochrome b-561
IGSF22	NM_173588	immunoglobulin superfamily, member 22
FAF1	NM_007051	FAS-associated factor 1
C1orf43	NM_001098616	hypothetical protein LOC25912 isoform 3
PLP2	NM_002668	proteolipid protein 2 (colonic
WT1	NM_024424	Wilms tumor 1 isoform B
RTKN	NM_033046	rhotekin isoform b
SPRYD3	NM_032840	SPRY domain containing 3
SLC25A25	NM_001006643	solute carrier family 25, member 25 isoform d
ODF3L2	NM_182577	outer dense fiber of sperm tails 3-like 2
CTAGE1	NM_172241	cutaneous T-cell lymphoma-associated antigen 1
DCTD	NM_001012732	dCMP deaminase isoform a
TEPP	NM_199456	testis/prostate/placenta-expressed protein
MACROD1	NM_014067	MACRO domain containing 1
HIST1H3G	NM_003534	H3 histone family, member H
KRT37	NM_003770	keratin 37
NAGLU	NM_000263	alpha-N-acetylglucosaminidase precursor
YWHAQ	NM_006826	tyrosine 3/tryptophan 5 -monooxygenase
CATSPERB	NM_024764	cation channel, sperm-associated, beta
ST3GAL1	NM_173344	sialyltransferase 4A
LIG4	NM_002312	DNA ligase IV
GLUD2	NM_012084	glutamate dehydrogenase 2
ERG	NM_182918	v-ets erythroblastosis virus E26 oncogene like
SLAMF7	NM_021181	SLAM family member 7
LGALS2	NM_006498	lectin, galactoside-binding, soluble, 2
SPOP	NM_001007229	speckle-type POZ protein
NBR1	NM_031862	neighbor of BRCA1 gene 1
TRPS1	NM_014112	zinc finger transcription factor TRPS1
SDS	NM_006843	serine dehydratase
SLC35E3	NM_018656	solute carrier family 35, member E2
SIP1	NM_003616	SMN-interacting protein 1 isoform alpha
RRAGB	NM_016656	Ras-related GTP binding B long isoform
CCT6A	NM_001762	chaperonin containing TCP1, subunit 6A isoform
PTPRM	NM_002845	protein tyrosine phosphatase, receptor type, M
NUDT17	NM_001012758	nudix (nucleoside diphosphate linked moiety
POLR1D	NM_152705	polymerase (RNA) I polypeptide D isoform 2
GSG1	NM_153823	germ cell associated 1 isoform 2
C17orf39	NM_024052	hypothetical protein LOC79018
CHN1	NM_001822	chimerin (chimaerin) 1
PCDHA2	NM_018905	protocadherin alpha 2 isoform 1 precursor
GSG1	NM_001080555	germ cell associated 1 isoform 4
ELOVL7	NM_001104558	elongation of very long chain fatty acids-like
GRIA2	NM_001083619	glutamate receptor, ionotropic, AMPA 2 isoform 2
IHPK2	NM_001005909	inositol hexaphosphate kinase 2 isoform a
KBTBD5	NM_152393	kelch repeat and BTB (POZ) domain containing 5
USHBP1	NM_031941	Usher syndrome 1C binding protein 1
ACAN	NM_013227	aggrecan isoform 2 precursor
DTNA	NM_001391	dystrobrevin alpha isoform 3
FAM120AOS	NM_198841	hypothetical protein LOC158293
RIMS4	NM_182970	regulating synaptic membrane exocytosis 4
PRRG1	NM_000950	proline rich Gla (G-carboxyglutamic acid) 1
EBAG9	NM_198120	estrogen receptor binding site associated
GNG4	NM_001098721	guanine nucleotide binding protein (G protein),
ZGPAT	NM_032527	zinc finger, CCCH-type with G patch domain
CTNNB1	NM_001904	catenin (cadherin-associated protein), beta 1,
PHF8	NM_015107	PHD finger protein 8
ARL6IP1	NM_015161	ADP-ribosylation factor-like 6 interacting
SRrp35	NM_080743	serine-arginine repressor protein
ZNF430	NM_025189	zinc finger protein 430
C13orf15	NM_014059	response gene to complement 32
ANKRD53	NM_024933	ankyrin repeat domain 53 isoform b
EVI5L	NM_145245	ecotropic viral integration site 5-like
SGCD	NM_000337	delta-sarcoglycan isoform 1
PSMC4	NM_006503	proteasome 26S ATPase subunit 4 isoform 1
HAX1	NM_001018837	HCLS1 associated protein X-1 isoform b
FER	NM_005246	fer (fps/fes related) tyrosine kinase
ANKRD16	NM_001009941	ankyrin repeat domain 16 isoform a
PLN	NM_002667	phospholamban
ATP2B1	NM_001001323	plasma membrane calcium ATPase 1 isoform 1a
XAGE1B	NM_001097595	X antigen family, member 1B isoform 1
KCNMB3	NM_171828	calcium-activated potassium channel beta 3
TMEM182	NM_144632	transmembrane protein 182
OR4L1	NM_001004717	olfactory receptor, family 4, subfamily L,
NCK2	NM_001004720	NCK adaptor protein 2 isoform A
EYA1	NM_172059	eyes absent 1 isoform c
DUSP13	NM_001007272	testis and skeletal muscle-specific dual
CTNND1	NM_001085469	catenin, delta 1 isoform 3A
HGF	NM_000601	hepatocyte growth factor isoform 1
CD74	NM_004355	CD74 antigen isoform b
LRRC29	NM_012163	F-box and leucine-rich repeat protein 9
TRIM35	NM_171982	tripartite motif-containing 35 isoform 2
ANXA11	NM_145868	annexin A11
ESAM	NM_138961	endothelial cell adhesion molecule
ZKSCAN4	NM_019110	zinc finger with KRAB and SCAN domains 4
ARHGAP26	NM_015071	GTPase regulator associated with the focal
RTN4IP1	NM_032730	reticulon 4 interacting protein 1 precursor
SYT11	NM_152280	synaptotagmin XI
SCAMP3	NM_052837	secretory carrier membrane protein 3 isoform 2
CADPS2	NM_017954	Ca2+-dependent activator protein for secretion 2
TSPAN4	NM_001025238	tetraspanin 4 isoform a
C3orf59	NM_178496	hypothetical protein LOC151963
DLEC1	NM_007335	deleted in lung and esophageal cancer 1 isoform
RAB2A	NM_002865	RAB2A, member RAS oncogene family
C9orf41	NM_152420	hypothetical protein LOC138199
C3orf72	NM_001040061	chromosome 3 open reading frame 72
C3orf26	NM_032359	hypothetical protein LOC84319
SYNGR1	NM_004711	synaptogyrin 1 isoform 1a
NNT	NM_182977	nicotinamide nucleotide transhydrogenase
ST3GAL3	NM_174968	sialyltransferase 6 isoform f
KRT31	NM_002277	keratin 31
TREM1	NM_018643	triggering receptor expressed on myeloid cells
PHKG2	NM_000294	phosphorylase kinase, gamma 2 (testis)
ADAMTS6	NM_197941	ADAM metallopeptidase with thrombospondin type 1
GSDMDC1	NM_024736	gasdermin domain containing 1
PALM2	NM_001037293	paralemmin 2 isoform b
CYP26A1	NM_057157	cytochrome P450, family 26, subfamily A,
MTSS1	NM_014751	metastasis suppressor 1
FAM161A	NM_032180	hypothetical protein LOC84140
DENND3	NM_014957	DENN/MADD domain containing 3
TEPP	NM_199046	testis/prostate/placenta-expressed protein
MARCH1	NM_017923	membrane-associated RING-CH protein I
IGFBP4	NM_001552	insulin-like growth factor binding protein 4
VCY	NM_004679	variable charge, Y-linked
HLA-DOA	NM_002119	major histocompatibility complex, class II, DO
UGT3A1	NM_152404	UDP glycosyltransferase 3 family, polypeptide
LPAR4	NM_005296	lysophosphatidic acid receptor 4
ZNF365	NM_199452	zinc finger protein 365 isoform D
PDLIM3	NM_014476	PDZ and LIM domain protein 3 isoform a
USP20	NM_001110303	ubiquitin specific protease 20
HNRNPF	NM_001098204	heterogeneous nuclear ribonucleoprotein F
ZFAT	NM_020863	zinc finger protein 406 isoform ZFAT-1
FAM96A	NM_032231	family with sequence similarity 96, member A
TEX9	NM_198524	testis expressed 9
DYM	NM_017653	dymeclin
MIER1	NM_001077700	mesoderm induction early response 1 isoform
SCHIP1	NM_014575	schwannomin interacting protein 1
SEC24D	NM_014822	Sec24-related protein D
SGCE	NM_001099400	sarcoglycan, epsilon isoform 3
USP8	NM_005154	ubiquitin specific peptidase 8
TMEM130	NM_152913	transmembrane protein 130
FXYD5	NM_144779	FXYD domain-containing ion transport regulator
RNPEPL1	NM_018226	arginyl aminopeptidase (aminopeptidase B)-like
IGSF8	NM_052868	immunoglobulin superfamily, member 8
SUV39H2	NM_024670	suppressor of variegation 3-9 homolog 2
CBLN4	NM_080617	cerebellin 4 precursor
CGB2	NM_033378	chorionic gonadotropin, beta polypeptide 2
THEG	NM_199202	Theg homolog isoform 2
SAMD8	NM_144660	sterile alpha motif domain containing 8
WNT7A	NM_004625	wingless-type MMTV integration site family,
PLCB4	NM_000933	phospholipase C beta 4 isoform a
USF1	NM_007122	upstream stimulatory factor 1 isoform 1
OTOP3	NM_178233	otopetrin 3
KIRREL2	NM_199180	kin of IRRE-like 2 isoform c
RAC1	NM_198829	ras-related C3 botulinum toxin substrate 1
IRAK3	NM_007199	interleukin-1 receptor-associated kinase 3
CHPF	NM_024536	chondroitin polymerizing factor
ARSD	NM_009589	arylsulfatase D isoform b precursor
RPL5	NM_000969	ribosomal protein L5
HSD11B1L	NM_198708	short-chain dehydrogenase/reductase 10 isoform
CCL27	NM_006664	small inducible cytokine A27 precursor
C6orf62	NM_030939	chromosome 6 open reading frame 62
NCL	NM_005381	nucleolin
CYP4V2	NM_207352	cytochrome P450, family 4, subfamily v,
SERPINF2	NM_000934	alpha-2-plasmin inhibitor
LOC390110	NM_001031854	hypothetical protein LOC390110
OPN1SW	NM_001708	opsin 1 (cone pigments), short-wave-sensitive
C20orf20	NM_018270	MRG-binding protein
GSPT1	NM_001130006	G1 to S phase transition 1 isoform 2
NRG1	NM_004495	neuregulin 1 isoform HRG-gamma
PTGES2	NM_198938	prostaglandin E synthase 2 isoform 2
RASD2	NM_014310	RASD family, member 2
AGTR2	NM_000686	angiotensin II receptor, type 2
C9orf25	NM_147202	hypothetical protein LOC203259
ZNF638	NM_014497	zinc finger protein 638
YTHDF2	NM_016258	high glucose-regulated protein 8
PLA2G6	NM_001004426	phospholipase A2, group VI isoform b
FCAR	NM_133273	Fc alpha receptor isoform e
LYZL6	NM_020426	lysozyme-like 6
DUS3L	NM_020175	dihydrouridine synthase 3-like
CLEC4M	NM_014257	C-type lectin domain family 4, member M isoform
COL13A1	NM_080807	alpha 1 type XIII collagen isoform 11
SHANK3	NM_001080420	proline-rich synapse-associated protein 2
FAM103A1	NM_031452	hypothetical protein LOC83640
CDKL3	NM_016508	cyclin-dependent kinase-like 3 isoform 2
TULP3	NM_003324	tubby like protein 3
PRDM7	NM_001098173	PR domain containing 7 isoform 1
HTR4	NM_001040171	serotonin 5-HT4 receptor isoform d
RIMS2	NM_014677	regulating synaptic membrane exocytosis 2
MGC70857	NM_001001795	hypothetical protein LOC414919
MYH11	NM_022844	smooth muscle myosin heavy chain 11 isoform
CALU	NM_001219	calumenin precursor
SPAG7	NM_004890	sperm associated antigen 7
NEO1	NM_002499	neogenin homolog 1
ZRANB2	NM_005455	zinc finger protein 265 isoform 2
NAIP	NM_004536	NLR family, apoptosis inhibitory protein isoform
TNIP3	NM_024873	TNFAIP3 interacting protein 3
C19orf26	NM_152769	downstream of Stk11
KDELC2	NM_153705	KDEL (Lys-Asp-Glu-Leu) containing 2
TSPAN14	NM_030927	tetraspanin 14 isoform 1
RERG	NM_032918	RAS-like, estrogen-regulated, growth inhibitor
ATAD3B	NM_031921	AAA-ATPase  TOB3
AMOT	NM_133265	angiomotin isoform 2
C1orf146	NM_001012425	hypothetical protein LOC388649
C14orf145	NM_152446	hypothetical protein LOC145508
FAM47B	NM_152631	hypothetical protein LOC170062
C6orf26	NM_001039651	hypothetical protein LOC401251
C15orf57	NM_001080792	coiled-coil domain containing 32 isoform a
SFRS2IP	NM_004719	splicing factor, arginine/serine-rich 2,
CITED2	NM_006079	Cbp/p300-interacting transactivator, with
UBE2E2	NM_152653	ubiquitin-conjugating enzyme E2E 2 (UBC4/5
C1RL	NM_016546	complement component 1, r subcomponent-like
CES7	NM_145024	carboxylesterase 7
RGS10	NM_002925	regulator of G-protein signaling 10 isoform b
USP17	NM_001105662	ubiquitin specific peptidase 17
C20orf117	NM_199181	hypothetical protein LOC140710
OSGIN2	NM_004337	oxidative stress induced growth inhibitor family
SRPK3	NM_014370	SFRS protein kinase 3
CDC37	NM_007065	cell division cycle 37 protein
UBE2J2	NM_058167	ubiquitin conjugating enzyme E2, J2 isoform 2
TRPM7	NM_017672	transient receptor potential cation channel,
RBM17	NM_032905	RNA binding motif protein 17
PDE9A	NM_001001568	phosphodiesterase 9A isoform c
NOL10	NM_024894	nucleolar protein 10
PNPLA7	NM_001098537	patatin-like phospholipase domain containing 7
ABLIM2	NM_032432	actin binding LIM protein family, member 2
FGFRL1	NM_001004358	fibroblast growth factor receptor-like 1
ILF2	NM_004515	interleukin enhancer binding factor 2
HOXA4	NM_002141	homeobox A4
FAM108A3	NM_001080422	hypothetical protein LOC653401
ANXA7	NM_001156	annexin VII isoform 1
SPAG11B	NM_016512	sperm associated antigen 11B isoform A
DPP10	NM_001004360	dipeptidyl peptidase 10 isoform short
BCAM	NM_001013257	basal cell adhesion molecule isoform 2
SSNA1	NM_003731	nuclear autoantigen of 14 kDa
APEH	NM_001640	N-acylaminoacyl-peptide hydrolase
NBPF3	NM_032264	hypothetical protein LOC84224
COL15A1	NM_001855	alpha 1 type XV collagen precursor
ATP5H	NM_006356	ATP synthase, H+ transporting, mitochondrial F0
ADRA1A	NM_033303	alpha-1A-adrenergic receptor isoform 2
GPR64	NM_001079859	G protein-coupled receptor 64 isoform 2
ALDH1L1	NM_012190	aldehyde dehydrogenase 1 family, member L1
BUB1B	NM_001211	BUB1 budding uninhibited by benzimidazoles 1
INPP1	NM_002194	inositol polyphosphate-1-phosphatase
MEOX1	NM_013999	mesenchyme homeobox 1 isoform 2
PCGF3	NM_006315	ring finger protein 3
ANKRD53	NM_001115116	ankyrin repeat domain 53 isoform a
DBF4B	NM_145663	DBF4 homolog B isoform 1
MARS2	NM_138395	methionine-tRNA synthetase 2 precursor
KLK15	NM_138563	kallikrein-related peptidase 15 isoform 2
CHN2	NM_001039936	beta chimerin isoform 1
LOC390688	NM_001080829	CDC37-like
GCHFR	NM_005258	GTP cyclohydrolase I feedback regulatory
IL1RAP	NM_002182	interleukin 1 receptor accessory protein isoform
XAGE1E	NM_001097603	X antigen family member 1E isoform 1
LINS1	NM_018148	lines homolog 1
MXI1	NM_130439	MAX interactor 1 isoform b
ZBTB10	NM_001105539	zinc finger and BTB domain containing 10 isoform
SYCP2L	NM_001040274	synaptonemal complex protein 2-like
OSGIN1	NM_182980	oxidative stress induced growth inhibitor 1
SLC2A1	NM_006516	solute carrier family 2 (facilitated glucose
TCL6	NM_014418	T-cell leukemia/lymphoma 6 isoform TCL6a2
PRRX1	NM_022716	paired mesoderm homeobox 1 isoform pmx-1b
PDE4DIP	NM_001002810	phosphodiesterase 4D interacting protein isoform
AK5	NM_174858	adenylate kinase 5 isoform 1
RSPO3	NM_032784	R-spondin 3
XAB2	NM_020196	XPA binding protein 2
SULT1A1	NM_177530	sulfotransferase family, cytosolic, 1A,
ZGPAT	NM_001083113	zinc finger, CCCH-type with G patch domain
MOSPD3	NM_001040097	motile sperm domain containing 3 isoform a
TBL1Y	NM_134258	transducin beta-like 1Y
DEFB107A	NM_001037668	defensin, beta 107A precursor
C9orf105	NM_001001790	hypothetical protein LOC401505
LGALS14	NM_203471	lectin, galactoside-binding, soluble, 14 isoform
CD53	NM_001040033	CD53 antigen
C4orf28	NM_145048	hypothetical protein LOC133015
SOSTDC1	NM_015464	sclerostin domain containing 1 precursor
PTPN1	NM_002827	protein tyrosine phosphatase, non-receptor type
CCDC39	NM_181426	coiled-coil domain containing 39
FZR1	NM_016263	Fzr1 protein
LRRN2	NM_006338	leucine rich repeat neuronal 2
WDR63	NM_145172	WD repeat domain 63
SPRR2B	NM_001017418	small proline-rich protein 2B
GJA5	NM_005266	connexin 40
TMEM208	NM_014187	HSPC171 protein
NRGN	NM_006176	neurogranin
C19orf43	NM_024038	hypothetical protein MGC2803
TDRD10	NM_182499	tudor domain containing 10 isoform b
VASH2	NM_024749	vasohibin 2
C10orf92	NM_017609	hypothetical protein LOC54777
PROL1	NM_021225	proline rich, lacrimal 1
LOC653319	NM_001040715	hypothetical protein LOC653319
HIPK2	NM_001113239	homeodomain interacting protein kinase 2 isoform
B3GALT5	NM_006057	UDP-Gal:betaGlcNAc beta
C9orf23	NM_148178	hypothetical protein LOC138716
LIG1	NM_000234	DNA ligase I
SIPA1	NM_153253	signal-induced proliferation-associated protein
TMEM160	NM_017854	transmembrane protein 160
EEF1A2	NM_001958	eukaryotic translation elongation factor 1 alpha
KRBA1	NM_032534	KRAB A domain containing 1
NFE2	NM_006163	nuclear factor (erythroid-derived 2), 45kDa
SNX22	NM_024798	sorting nexin 22
THYN1	NM_199298	thymocyte nuclear protein 1 isoform 1
C12orf52	NM_032848	hypothetical protein LOC84934
ZDHHC16	NM_198046	Abl-philin 2 isoform 1
PRKACB	NM_207578	cAMP-dependent protein kinase catalytic subunit
TP53I3	NM_147184	tumor protein p53 inducible protein 3
PSMC4	NM_153001	proteasome 26S ATPase subunit 4 isoform 2
PPP1R11	NM_021959	protein phosphatase 1, regulatory (inhibitor)
NCR1	NM_004829	natural cytotoxicity triggering receptor 1
OLA1	NM_001011708	GTP-binding protein PTD004 isoform 2
FAM181A	NM_138344	hypothetical protein LOC90050
CAMTA1	NM_015215	calmodulin-binding transcription activator 1
SUMO4	NM_001002255	SMT3 suppressor of mif two 3 homolog 4
WISP3	NM_003880	WNT1 inducible signaling pathway protein 3
PLD4	NM_138790	phospholipase D family, member 4
TLE1	NM_005077	transducin-like enhancer protein 1
CD59	NM_203330	CD59 antigen preproprotein
EI24	NM_004879	etoposide induced 2.4 isoform 1
FAS	NM_152873	tumor necrosis factor receptor superfamily,
SMOC1	NM_001034852	secreted modular calcium-binding protein 1
NAAA	NM_001042402	N-acylethanolamine acid amidase isoform 2
TNNT3	NM_001042780	troponin T3, skeletal, fast isoform 3
LRRC45	NM_144999	leucine rich repeat containing 45
C4orf30	NM_017741	hypothetical protein LOC54876
PPWD1	NM_015342	peptidylprolyl isomerase domain and WD repeat
S100A13	NM_005979	S100 calcium binding protein A13
CSH1	NM_022640	chorionic somatomammotropin hormone 1 isoform 2
TMEM91	NM_001098821	transmembrane protein 91 isoform a
PEX12	NM_000286	peroxisomal biogenesis factor 12
AP3M1	NM_207012	adaptor-related protein complex 3, mu 1 subunit
FOXD4L1	NM_012184	forkhead box D4-like 1
ENSA	NM_207042	endosulfine alpha isoform 1
ADAMTS8	NM_007037	ADAM metallopeptidase with thrombospondin type 1
DPYSL3	NM_001387	dihydropyrimidinase-like 3
KCNA2	NM_004974	potassium voltage-gated channel, shaker-related
PSEN2	NM_000447	presenilin 2 isoform 1
OR5A2	NM_001001954	olfactory receptor, family 5, subfamily A,
ICAM3	NM_002162	intercellular adhesion molecule 3 precursor
OR4K13	NM_001004714	olfactory receptor, family 4, subfamily K,
CCT3	NM_001008883	chaperonin containing TCP1, subunit 3 isoform b
FMO3	NM_006894	flavin containing monooxygenase 3 isoform 1
FLJ10490	NM_018111	hypothetical protein LOC55150
MTA3	NM_020744	metastasis associated 1 family, member 3
APOC3	NM_000040	apolipoprotein C-III precursor
JAK3	NM_000215	Janus kinase 3
XRCC4	NM_022406	X-ray repair cross complementing protein 4
PTTG1	NM_004219	pituitary tumor-transforming protein 1
GAB1	NM_207123	GRB2-associated binding protein 1 isoform a
RBM25	NM_021239	RNA binding motif protein 25
LPAL2	NM_145727	lipoprotein, Lp(a)-like 2 precursor
MT2A	NM_005953	metallothionein 2A
PDE9A	NM_001001584	phosphodiesterase 9A isoform g
SF1	NM_201997	splicing factor 1 isoform 4
UBE2C	NM_181799	ubiquitin-conjugating enzyme E2C isoform 2
PBRM1	NM_181042	polybromo 1 isoform 4
SERINC1	NM_020755	serine incorporator 1
SLC7A1	NM_003045	solute carrier family 7 (cationic amino acid
ATF3	NM_001030287	activating transcription factor 3 isoform 1
RNF14	NM_004290	ring finger protein 14 isoform 1
GGA3	NM_014001	ADP-ribosylation factor binding protein 3
KRTAP6-2	NM_181604	keratin associated protein 6-2
C20orf118	NM_080628	hypothetical protein LOC140711
NUPL1	NM_001008565	nucleoporin like 1 isoform c
TRIM13	NM_001007278	ret finger protein 2 isoform 2
OR4F29	NM_001005221	olfactory receptor, family 4, subfamily F,
PSMD4	NM_002810	proteasome 26S non-ATPase subunit 4
CST2	NM_001322	cystatin SA precursor
NUDT19	NM_001105570	nudix (nucleoside diphosphate linked moiety
CDC123	NM_006023	cell division cycle 123
HM13	NM_030789	minor histocompatibility antigen 13 isoform 1
KHDC1	NM_030568	KH homology domain containing 1
ZNF493	NM_001076678	zinc finger protein 493 isoform 3
BIRC7	NM_139317	livin inhibitor of apoptosis isoform alpha
OGDHL	NM_018245	oxoglutarate dehydrogenase-like
RNFT2	NM_032814	transmembrane protein 118 isoform 2
CTAGE6	NM_178561	CTAGE family, member 6
RAP1A	NM_002884	RAP1A, member of RAS oncogene family
IFFO	NM_080731	intermediate filament family orphan isoform 3
YKT6	NM_006555	YKT6 v-SNARE protein
FGGY	NM_018291	FGGY carbohydrate kinase domain containing
PCDHA2	NM_031495	protocadherin alpha 2 isoform 2 precursor
OTUD6A	NM_207320	OTU domain containing 6A
HIST1H3F	NM_021018	histone cluster 1, H3f
ABHD12	NM_015600	abhydrolase domain containing 12 isoform b
C1orf103	NM_018372	receptor-interacting factor 1 isoform 1
BEST4	NM_153274	bestrophin 4
HEXDC	NM_173620	hexosaminidase (glycosyl hydrolase family 20,
TMEM41B	NM_015012	transmembrane protein 41B
UPF3B	NM_023010	UPF3 regulator of nonsense transcripts homolog B
LRRCC1	NM_001077501	sodium channel associated protein 2 isoform b
IL21R	NM_181079	interleukin 21 receptor precursor
BAI3	NM_001704	brain-specific angiogenesis inhibitor 3
CAMK1G	NM_020439	calcium/calmodulin-dependent protein kinase IG
SNRPN	NM_022805	small nuclear ribonucleoprotein polypeptide N
CTRB1	NM_001906	chymotrypsinogen B1
CLDN20	NM_001001346	claudin 20
GZMH	NM_033423	granzyme H
SELE	NM_000450	selectin E precursor
ACRV1	NM_020109	acrosomal vesicle protein 1 isoform e precursor
DDHD2	NM_015214	DDHD domain containing 2
PAQR3	NM_001040202	progestin and adipoQ receptor family member III
SLC6A6	NM_003043	solute carrier family 6 (neurotransmitter
TP53I13	NM_138349	tumor protein p53 inducible protein 13
USP32	NM_032582	ubiquitin specific protease 32
PFAS	NM_012393	phosphoribosylformylglycinamidine synthase
